city,year,weekofyear,total_cases
sj,2008,18,11
sj,2008,19,12
sj,2008,20,17
sj,2008,21,18
sj,2008,22,40
sj,2008,23,50
sj,2008,24,1
sj,2008,25,57
sj,2008,26,41
sj,2008,27,44
sj,2008,28,7
sj,2008,29,7
sj,2008,30,10
sj,2008,31,11
sj,2008,32,49
sj,2008,33,12
sj,2008,34,6
sj,2008,35,40
sj,2008,36,2
sj,2008,37,10
sj,2008,38,-4
sj,2008,39,-4
sj,2008,40,48
sj,2008,41,40
sj,2008,42,5
sj,2008,43,38
sj,2008,44,11
sj,2008,45,13
sj,2008,46,44
sj,2008,47,0
sj,2008,48,-7
sj,2008,49,9
sj,2008,50,40
sj,2008,51,29
sj,2008,52,38
sj,2009,1,24
sj,2009,2,13
sj,2009,3,27
sj,2009,4,12
sj,2009,5,6
sj,2009,6,8
sj,2009,7,24
sj,2009,8,19
sj,2009,9,36
sj,2009,10,3
sj,2009,11,7
sj,2009,12,13
sj,2009,13,35
sj,2009,14,43
sj,2009,15,38
sj,2009,16,22
sj,2009,17,38
sj,2009,18,38
sj,2009,19,22
sj,2009,20,37
sj,2009,21,24
sj,2009,22,34
sj,2009,23,16
sj,2009,24,34
sj,2009,25,7
sj,2009,26,-4
sj,2009,27,45
sj,2009,28,15
sj,2009,29,51
sj,2009,30,48
sj,2009,31,23
sj,2009,32,9
sj,2009,33,3
sj,2009,34,8
sj,2009,35,9
sj,2009,36,51
sj,2009,37,12
sj,2009,38,4
sj,2009,39,44
sj,2009,40,0
sj,2009,41,34
sj,2009,42,7
sj,2009,43,35
sj,2009,44,51
sj,2009,45,4
sj,2009,46,-8
sj,2009,47,33
sj,2009,48,6
sj,2009,49,55
sj,2009,50,13
sj,2009,51,39
sj,2009,52,7
sj,2010,53,13
sj,2010,1,26
sj,2010,2,51
sj,2010,3,3
sj,2010,4,33
sj,2010,5,38
sj,2010,6,0
sj,2010,7,24
sj,2010,8,-3
sj,2010,9,35
sj,2010,10,21
sj,2010,11,52
sj,2010,12,1
sj,2010,13,0
sj,2010,14,49
sj,2010,15,-18
sj,2010,16,19
sj,2010,17,35
sj,2010,18,28
sj,2010,19,25
sj,2010,20,17
sj,2010,21,0
sj,2010,22,43
sj,2010,23,33
sj,2010,24,-2
sj,2010,25,39
sj,2010,26,30
sj,2010,27,39
sj,2010,28,4
sj,2010,29,2
sj,2010,30,43
sj,2010,31,31
sj,2010,32,20
sj,2010,33,38
sj,2010,34,1
sj,2010,35,41
sj,2010,36,42
sj,2010,37,44
sj,2010,38,27
sj,2010,39,40
sj,2010,40,10
sj,2010,41,38
sj,2010,42,42
sj,2010,43,38
sj,2010,44,-3
sj,2010,45,9
sj,2010,46,-7
sj,2010,47,-4
sj,2010,48,17
sj,2010,49,31
sj,2010,50,0
sj,2010,51,17
sj,2011,52,31
sj,2011,1,29
sj,2011,2,57
sj,2011,3,14
sj,2011,4,55
sj,2011,5,48
sj,2011,6,4
sj,2011,7,46
sj,2011,8,-1
sj,2011,9,31
sj,2011,10,48
sj,2011,11,2
sj,2011,12,32
sj,2011,13,25
sj,2011,14,46
sj,2011,15,-11
sj,2011,16,-3
sj,2011,17,33
sj,2011,18,37
sj,2011,19,44
sj,2011,20,21
sj,2011,21,17
sj,2011,22,47
sj,2011,23,14
sj,2011,24,47
sj,2011,25,0
sj,2011,26,36
sj,2011,27,32
sj,2011,28,6
sj,2011,29,33
sj,2011,30,35
sj,2011,31,4
sj,2011,32,17
sj,2011,33,30
sj,2011,34,-5
sj,2011,35,46
sj,2011,36,22
sj,2011,37,53
sj,2011,38,10
sj,2011,39,34
sj,2011,40,16
sj,2011,41,0
sj,2011,42,25
sj,2011,43,45
sj,2011,44,4
sj,2011,45,15
sj,2011,46,29
sj,2011,47,-5
sj,2011,48,14
sj,2011,49,11
sj,2011,50,36
sj,2011,51,0
sj,2012,52,-10
sj,2012,1,23
sj,2012,2,8
sj,2012,3,0
sj,2012,4,39
sj,2012,5,49
sj,2012,6,-6
sj,2012,7,6
sj,2012,8,12
sj,2012,9,22
sj,2012,10,22
sj,2012,11,0
sj,2012,12,34
sj,2012,13,-4
sj,2012,14,9
sj,2012,15,8
sj,2012,16,15
sj,2012,17,13
sj,2012,18,9
sj,2012,19,30
sj,2012,20,7
sj,2012,21,53
sj,2012,22,8
sj,2012,23,-6
sj,2012,24,57
sj,2012,25,3
sj,2012,26,53
sj,2012,27,41
sj,2012,28,43
sj,2012,29,1
sj,2012,30,36
sj,2012,31,-4
sj,2012,32,52
sj,2012,33,17
sj,2012,34,3
sj,2012,35,7
sj,2012,36,1
sj,2012,37,20
sj,2012,38,26
sj,2012,39,29
sj,2012,40,48
sj,2012,41,-8
sj,2012,42,9
sj,2012,43,40
sj,2012,44,7
sj,2012,45,12
sj,2012,46,29
sj,2012,47,38
sj,2012,48,26
sj,2012,49,26
sj,2012,50,26
sj,2012,51,33
sj,2013,1,38
sj,2013,2,55
sj,2013,3,14
sj,2013,4,20
sj,2013,5,13
sj,2013,6,43
sj,2013,7,23
sj,2013,8,-9
sj,2013,9,36
sj,2013,10,33
sj,2013,11,38
sj,2013,12,29
sj,2013,13,33
sj,2013,14,43
sj,2013,15,5
sj,2013,16,0
sj,2013,17,-8
iq,2010,26,-4
iq,2010,27,47
iq,2010,28,21
iq,2010,29,7
iq,2010,30,3
iq,2010,31,5
iq,2010,32,18
iq,2010,33,34
iq,2010,34,17
iq,2010,35,-1
iq,2010,36,44
iq,2010,37,48
iq,2010,38,4
iq,2010,39,7
iq,2010,40,8
iq,2010,41,25
iq,2010,42,53
iq,2010,43,25
iq,2010,44,45
iq,2010,45,29
iq,2010,46,8
iq,2010,47,8
iq,2010,48,33
iq,2010,49,44
iq,2010,50,18
iq,2010,51,41
iq,2011,52,5
iq,2011,1,42
iq,2011,2,20
iq,2011,3,50
iq,2011,4,3
iq,2011,5,22
iq,2011,6,28
iq,2011,7,10
iq,2011,8,10
iq,2011,9,10
iq,2011,10,29
iq,2011,11,42
iq,2011,12,35
iq,2011,13,-12
iq,2011,14,0
iq,2011,15,31
iq,2011,16,22
iq,2011,17,-10
iq,2011,18,26
iq,2011,19,55
iq,2011,20,23
iq,2011,21,-6
iq,2011,22,4
iq,2011,23,0
iq,2011,24,27
iq,2011,25,37
iq,2011,26,38
iq,2011,27,35
iq,2011,28,22
iq,2011,29,55
iq,2011,30,5
iq,2011,31,30
iq,2011,32,20
iq,2011,33,5
iq,2011,34,30
iq,2011,35,13
iq,2011,36,6
iq,2011,37,48
iq,2011,38,30
iq,2011,39,37
iq,2011,40,31
iq,2011,41,41
iq,2011,42,30
iq,2011,43,0
iq,2011,44,30
iq,2011,45,29
iq,2011,46,-7
iq,2011,47,36
iq,2011,48,-4
iq,2011,49,13
iq,2011,50,8
iq,2011,51,12
iq,2012,52,46
iq,2012,1,41
iq,2012,2,36
iq,2012,3,19
iq,2012,4,27
iq,2012,5,12
iq,2012,6,1
iq,2012,7,20
iq,2012,8,20
iq,2012,9,52
iq,2012,10,16
iq,2012,11,12
iq,2012,12,37
iq,2012,13,27
iq,2012,14,3
iq,2012,15,32
iq,2012,16,0
iq,2012,17,33
iq,2012,18,12
iq,2012,19,28
iq,2012,20,-9
iq,2012,21,38
iq,2012,22,3
iq,2012,23,11
iq,2012,24,34
iq,2012,25,7
iq,2012,26,16
iq,2012,27,33
iq,2012,28,23
iq,2012,29,28
iq,2012,30,25
iq,2012,31,22
iq,2012,32,4
iq,2012,33,8
iq,2012,34,45
iq,2012,35,17
iq,2012,36,-4
iq,2012,37,1
iq,2012,38,0
iq,2012,39,34
iq,2012,40,-3
iq,2012,41,-3
iq,2012,42,45
iq,2012,43,21
iq,2012,44,12
iq,2012,45,3
iq,2012,46,33
iq,2012,47,15
iq,2012,48,6
iq,2012,49,6
iq,2012,50,19
iq,2012,51,11
iq,2013,1,20
iq,2013,2,-6
iq,2013,3,6
iq,2013,4,4
iq,2013,5,11
iq,2013,6,30
iq,2013,7,-10
iq,2013,8,38
iq,2013,9,17
iq,2013,10,32
iq,2013,11,45
iq,2013,12,24
iq,2013,13,7
iq,2013,14,6
